,channelTitle,view_count,Likes,Dislikes,Comments,Response_Percentage,LikesPercentage,DislikesPercentage,CommentsPercentage
93,AcousticTrench,1281404,205136,223,12524,16.02609325396206,16.008690467643305,0.017402786318756615,0.9773654522695419
94,Action Lab Shorts,28624054,1809572,23296,21599,6.403243929039541,6.321857833275469,0.08138609576407312,0.07545751555667132
95,Ad Council,699829,9204,4018,0,1.8893186764195253,1.3151784221574128,0.5741402542621126,0.0
96,Adam Neely,308856,23637,690,4129,7.876486129458389,7.6530810474784365,0.22340508197995182,1.3368689615872769
97,Adam Savage’s Tested,1297168,44256,1020,2204,3.4903728738297586,3.411740036756997,0.07863283707276159,0.16990860089055543
98,Addison Rae,45796290,2249732,241348,232636,5.439479922936989,4.912476534671258,0.5270033882657307,0.5079800132281458
99,Adin Live,659596,28610,267,1033,4.3779828864941575,4.337503562786918,0.04047932370723897,0.15661101644036654
100,Adin Ross,1361897,130334,1275,10149,9.663652978162078,9.570033563478002,0.0936194146840767,0.7452105408852505
101,Adult Swim,54871141,1967970,24719,87663,3.63157930322608,3.5865301215442194,0.04504918168186078,0.15976157667288166
102,Advance Auto Parts,792429,7536,417,702,1.0036230375213426,0.951000026500797,0.05262301102054569,0.08858837826480354
103,Adventures and Naps,240897,6770,457,1005,3.0000373603656336,2.810329725982474,0.1897076343831596,0.41719074957346913
104,AfinArte Music,15309727,348446,8285,11878,2.3300938024564384,2.2759778799452137,0.0541159225112244,0.07758466235224182
